cidade,pais,latitude,longitude,descricao_clima,temperatura,sensacao_termica,temp_min,temp_max,umidade,pressao,visibilidade,vento_velocidade,vento_direcao,nuvens_%,nascer_sol,por_sol,ultima_atualizacao,data_carga
London,GB,51.5085,-0.1257,nuvens dispersas,25.31,25.44,24.06,26.12,59,1010,10000,7.72,240,40,04:43:56,21:21:49,2025-06-24 17:56:19,2025-06-24 14:02:00
São Paulo,BR,-23.5475,-46.6361,céu limpo,14.99,13.85,14.75,15.94,50,1019,10000,6.69,290,0,06:48:26,17:29:28,2025-06-24 13:59:36,2025-06-24 14:02:00
Rio de Janeiro,BR,-22.9028,-43.2075,nublado,18.93,18.73,18.87,19.12,71,1017,10000,8.23,230,100,06:33:23,17:17:04,2025-06-24 13:52:46,2025-06-24 14:02:00
Santiago,CL,-33.4569,-70.6483,céu limpo,15.95,14.72,15.23,17.0,43,1014,10000,1.79,225,1,07:46:58,17:43:03,2025-06-24 12:58:30,2025-06-24 14:02:00
Montevideo,UY,-34.8335,-56.1674,céu limpo,10.52,8.75,9.84,10.84,43,1012,10000,8.75,310,0,07:52:35,17:41:34,2025-06-24 14:00:32,2025-06-24 14:03:00
Buenos Aires,AR,-34.6132,-58.3772,céu limpo,12.22,10.33,10.82,13.24,32,1012,10000,5.66,300,0,08:00:51,17:50:59,2025-06-24 14:00:45,2025-06-24 14:03:00
