cidade,pais,latitude,longitude,descricao_clima,temperatura,sensacao_termica,temp_min,temp_max,umidade,pressao,visibilidade,vento_velocidade,vento_direcao,nuvens_%,nascer_sol,por_sol,ultima_atualizacao,data_carga
London,GB,51.5085,-0.1257,nuvens dispersas,25.1,25.21,24.06,26.25,59,1010,10000,7.72,240,40,04:43:56,21:21:49,2025-06-24 18:28:18,2025-06-24 14:32:00
São Paulo,BR,-23.5475,-46.6361,céu limpo,15.88,14.54,15.75,16.2,39,1019,10000,6.17,290,0,06:48:26,17:29:28,2025-06-24 14:30:13,2025-06-24 14:32:00
Rio de Janeiro,BR,-22.9028,-43.2075,nublado,18.93,18.86,18.12,19.0,76,1017,10000,6.17,240,100,06:33:23,17:17:04,2025-06-24 14:21:13,2025-06-24 14:32:00
Santiago,CL,-33.4569,-70.6483,céu limpo,16.3,15.13,15.59,18.11,44,1015,10000,1.79,225,1,07:46:58,17:43:03,2025-06-24 13:25:32,2025-06-24 14:32:00
Montevideo,UY,-34.8335,-56.1674,céu limpo,10.9,9.17,10.84,11.01,43,1012,10000,6.69,320,0,07:52:35,17:41:34,2025-06-24 14:26:46,2025-06-24 14:32:00
Buenos Aires,AR,-34.6132,-58.3772,céu limpo,13.27,11.51,12.17,13.96,33,1012,10000,6.69,300,0,08:00:51,17:50:59,2025-06-24 14:26:04,2025-06-24 14:32:00
