cidade,pais,latitude,longitude,descricao_clima,temperatura,sensacao_termica,temp_min,temp_max,umidade,pressao,visibilidade,vento_velocidade,vento_direcao,nuvens_%,nascer_sol,por_sol,ultima_atualizacao,data_carga
London,GB,51.5085,-0.1257,nuvens dispersas,21.9,21.9,19.71,22.86,67,1010,10000,3.09,210,37,04:44:19,21:21:51,2025-06-25 23:09:57,2025-06-25 19:12:00
São Paulo,BR,-23.5475,-46.6361,céu limpo,14.53,14.1,13.2,15.81,79,1021,10000,2.06,140,0,06:48:34,17:29:43,2025-06-25 19:07:47,2025-06-25 19:12:00
Rio de Janeiro,BR,-22.9028,-43.2075,céu limpo,19.73,19.48,18.89,20.12,66,1021,10000,6.17,120,0,06:33:32,17:17:19,2025-06-25 19:03:05,2025-06-25 19:12:00
Santiago,CL,-33.4569,-70.6483,nublado,10.75,9.68,9.47,12.32,69,1019,6000,4.63,200,100,07:47:05,17:43:19,2025-06-25 18:09:08,2025-06-25 19:12:00
Montevideo,UY,-34.8335,-56.1674,céu limpo,11.09,10.08,7.84,11.99,70,1014,10000,2.57,290,0,07:52:42,17:41:51,2025-06-25 19:07:02,2025-06-25 19:12:00
Buenos Aires,AR,-34.6132,-58.3772,nublado,11.01,9.79,9.96,11.64,62,1014,10000,2.96,276,100,08:00:58,17:51:16,2025-06-25 19:07:25,2025-06-25 19:12:00
